photo_id,model_name,caption,name,labels,_merge
6CE6edDhasSHcwdLsjkAXQ,nlpconnect/vit-gpt2-image-captioning,a large red and white balloon hanging from a ceiling ,Commander's Palace,fine dining,both
6CE6edDhasSHcwdLsjkAXQ,Salesforce/blip-image-captioning-large,balloons are attached to a lamp in a room with a mirror,Commander's Palace,fine dining,both
6CE6edDhasSHcwdLsjkAXQ,Salesforce/blip-image-captioning-base,a room with balloons and a mirror,Commander's Palace,fine dining,both
bD8wSBFtum_fEqdXZY_2Wg,nlpconnect/vit-gpt2-image-captioning,a plate of food with vegetables and meat ,Subculture Urban Cuisine And Cafe,fast food,both
bD8wSBFtum_fEqdXZY_2Wg,Salesforce/blip-image-captioning-large,someone holding a plate of food with a salad and a sandwich,Subculture Urban Cuisine And Cafe,fast food,both
bD8wSBFtum_fEqdXZY_2Wg,Salesforce/blip-image-captioning-base,a person holding a plate of food with a fork,Subculture Urban Cuisine And Cafe,fast food,both
a0W2QGfCIx5VBXVfX4F-lg,nlpconnect/vit-gpt2-image-captioning,"a salad with tomatoes, peppers, onions, and other vegetables ",Freeman's Flying Chicken,fast food,both
a0W2QGfCIx5VBXVfX4F-lg,Salesforce/blip-image-captioning-large,there is a container of vegetables with a spoon in it,Freeman's Flying Chicken,fast food,both
a0W2QGfCIx5VBXVfX4F-lg,Salesforce/blip-image-captioning-base,a container filled with vegetables and vegetables,Freeman's Flying Chicken,fast food,both
OpC2fgHz06JdB4E2vGz83g,nlpconnect/vit-gpt2-image-captioning,a plate of food with meat and vegetables ,Trinity Restaurant New Orleans,fine dining,both
OpC2fgHz06JdB4E2vGz83g,Salesforce/blip-image-captioning-large,a close up of a plate of food with meat and vegetables,Trinity Restaurant New Orleans,fine dining,both
OpC2fgHz06JdB4E2vGz83g,Salesforce/blip-image-captioning-base,a plate with a salad on it,Trinity Restaurant New Orleans,fine dining,both
6MQ0Oo2fS4Xwn27e3_X0_w,nlpconnect/vit-gpt2-image-captioning,a plate of food with meat and vegetables ,GW Fins,fine dining,both
6MQ0Oo2fS4Xwn27e3_X0_w,Salesforce/blip-image-captioning-large,there is a plate of food with scallops and mushrooms on it,GW Fins,fine dining,both
6MQ0Oo2fS4Xwn27e3_X0_w,Salesforce/blip-image-captioning-base,a plate with some food on it,GW Fins,fine dining,both
j2gRVG7NeilU_aubK4aUug,nlpconnect/vit-gpt2-image-captioning,two women sitting at a table with a cake ,Whitey's Fishing Hole,fast food,both
j2gRVG7NeilU_aubK4aUug,Salesforce/blip-image-captioning-large,several people sitting at a table with a lot of paper and pens,Whitey's Fishing Hole,fast food,both
j2gRVG7NeilU_aubK4aUug,Salesforce/blip-image-captioning-base,three girls sitting at a table with a drink,Whitey's Fishing Hole,fast food,both
rWZDVUKMKk_sQo9kkw3WmQ,nlpconnect/vit-gpt2-image-captioning,a bowl of soup on a table ,Commander's Palace,fine dining,both
rWZDVUKMKk_sQo9kkw3WmQ,Salesforce/blip-image-captioning-large,there is a bowl of soup on a plate on a table,Commander's Palace,fine dining,both
rWZDVUKMKk_sQo9kkw3WmQ,Salesforce/blip-image-captioning-base,a bowl of soup on a table with a glass of wine,Commander's Palace,fine dining,both
e4zFRg08GTH7n1aTHPlBlQ,nlpconnect/vit-gpt2-image-captioning,a salad with a lot of greens on it ,Jane At The Marketplace,fine dining,both
e4zFRg08GTH7n1aTHPlBlQ,Salesforce/blip-image-captioning-large,"there is a salad with lettuce, almonds and a dressing",Jane At The Marketplace,fine dining,both
e4zFRg08GTH7n1aTHPlBlQ,Salesforce/blip-image-captioning-base,a plate with a salad and oranges on it,Jane At The Marketplace,fine dining,both
8V-prsFGBQ7rUiEEMU3zUA,nlpconnect/vit-gpt2-image-captioning,a tray of fries with a hot dog and french fries ,Wayback Burgers,fast food,both
8V-prsFGBQ7rUiEEMU3zUA,Salesforce/blip-image-captioning-large,a close up of a basket of french fries with ketchup,Wayback Burgers,fast food,both
8V-prsFGBQ7rUiEEMU3zUA,Salesforce/blip-image-captioning-base,a basket of french fries with ketche kef sauce,Wayback Burgers,fast food,both
NeKWfXG9N_PI9gqua0gogg,nlpconnect/vit-gpt2-image-captioning,a hot dog sitting on top of a picnic table ,Ground,fast food,both
NeKWfXG9N_PI9gqua0gogg,Salesforce/blip-image-captioning-large,arafed sandwich and drink on a picnic table in a park,Ground,fast food,both
NeKWfXG9N_PI9gqua0gogg,Salesforce/blip-image-captioning-base,a picnic table with a sandwich and a drink,Ground,fast food,both
JYSQvrGejK4cBQXTF5QiXQ,nlpconnect/vit-gpt2-image-captioning,a woman standing in front of a crowd of people ,The Jazz Playhouse,fine dining,both
JYSQvrGejK4cBQXTF5QiXQ,Salesforce/blip-image-captioning-large,several people are sitting in chairs and watching a band perform,The Jazz Playhouse,fine dining,both
JYSQvrGejK4cBQXTF5QiXQ,Salesforce/blip-image-captioning-base,a band playing in a room with a stage,The Jazz Playhouse,fine dining,both
U-1FRoiQehcAsN4xOutx8A,nlpconnect/vit-gpt2-image-captioning,a person holding a cup of coffee ,Capital Coffee,fast food,both
